Supplementary Table 12.  Signature genes of T cell subsets used forl deconvolution analysis.;;;;;;;;;;;;;;;;;
CD8_c1_Tex;CD4/CD8_c4_Tstr;CD8_c5_Tisg;CD8_Teff;CD8_Tn;CD4_c1_Treg;CD4_c3_Tfh;CD4_c0_Tcm;CD4_Tn;;;;;;;;;
CXCL13;HSPA6;ISG15;GZMK;LEF1;FOXP3;CXCL13;ANXA1;CCR7;;;;;;;;;
GZMB;HSPA1A;IFI6;GPR183;SELL;IL2RA;BCL6;LMNA;FHIT;;;;;;;;;
HAVCR2;HSPA1B;MX1;FGFBP2;TCF7;TNFRSF4;PDCD1;KLRB1;KLF2;;;;;;;;;
CCL3;DNAJB1;IFI44L;GNLY;CCR7;TIGIT;LAG3;IL7R;LEF1;;;;;;;;;
ENTPD1;HSPH1;IFIT3;GZMH;FHIT;TNFRSF18;CXCR5;GPR183;SELL;;;;;;;;;
VCAM1;HSP90AA1;IFIT1;CX3CR1;KLF2;BATF;TOX2;CXCR4;TCF7;;;;;;;;;
LAG3;HSPE1;RSAD2;FCGR3A;CD3D;CTLA4;GNG4;FOS;ACTN1;;;;;;;;;
TNFRSF9;HSPB1;OAS1;PLEK;CD3E;RTKN2;TIGIT;JUND;CD3D;;;;;;;;;
CTLA4;BAG3;IFI27;KLRD1;CD8A;TNFRSF9;NR3C1;KLF2;CD3E;;;;;;;;;
CCL4L1;HSPD1;IFI44;HOPX;CD8B;IKZF2;SH2D1A;CD69;CD4;;;;;;;;;
TIGIT;DNAJA1;XAF1;KLRG1;;TNFRSF1B;SMCO4;CD4;;;;;;;;;;
TNFRSF18;HSP90AB1;MX2;NKG7;;LAYN;CHI3L2;CD3D;;;;;;;;;;
PDCD1;JUN;STAT1;ZEB2;;CD27;TOX;CD3E;;;;;;;;;;
IFNG;NR4A1;OAS3;TBX21;;GBP5;TNFRSF4;;;;;;;;;;;
ACP5;HSPA8;EPSTI1;PRF1;;IL2RB;BTLA;;;;;;;;;;;
LAYN;FOSB;SAMD9L;CD300A;;IL1R2;TNFRSF18;;;;;;;;;;;
CXCR6;FOS;HERC5;CD244;;DUSP4;NMB;;;;;;;;;;;
GNLY;DUSP1;EIF2AK2;EOMES;;GBP2;CD200;;;;;;;;;;;
PHLDA1;DNAJB4;IFIT2;GZMM;;ICOS;CD4;;;;;;;;;;;
DUSP4;DNAJA4;LY6E;SEMA4A;;ENTPD1;CD3D;;;;;;;;;;;
CD3D;CD3D;CD3D;CD3D;;CD4;CD3E;;;;;;;;;;;
CD3E;CD3E;CD3E;CD3E;;CD3D;;;;;;;;;;;;
CD8A;;CD8A;CD8A;;CD3E;;;;;;;;;;;;
CD8B;;CD8B;CD8B;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
